student_id,interest,attendance,study_hours,grade_math,grade_physics,grade_literature,grade_biology,grade_chemistry,stress_level,stress_label,interest_label
1,2,83.0,18,27,21,20,28,28,3,medium,low
2,4,86.0,11,20,26,24,41,20,2,low,high
3,4,87.0,14,31,33,25,46,33,2,low,high
4,3,100.0,13,32,20,20,20,25,1,very_low,medium
5,4,79.0,12,21,20,32,45,32,3,medium,high
6,4,81.0,8,24,23,20,33,35,2,low,high
7,5,96.0,20,34,23,31,34,23,4,high,very_high
8,5,77.0,25,33,34,39,46,38,4,high,very_high
9,3,87.0,15,28,27,28,24,23,2,low,medium
10,2,100.0,11,20,24,20,20,26,2,low,low
11,2,58.0,12,20,35,23,22,30,3,medium,low
12,5,85.0,22,49,39,49,35,37,3,medium,very_high
13,5,70.0,16,46,30,25,30,36,3,medium,very_high
14,4,46.0,15,20,26,37,20,31,1,very_low,high
15,2,63.0,8,20,20,20,22,20,3,medium,low
16,3,80.0,9,33,22,30,24,22,3,medium,medium
17,5,89.0,14,38,28,35,51,20,3,medium,very_high
18,4,95.0,21,40,34,28,31,45,3,medium,high
19,3,89.0,9,26,21,22,24,21,2,low,medium
20,4,60.0,23,35,21,20,28,30,2,low,high
21,4,60.0,19,32,37,22,29,27,3,medium,high
22,2,100.0,17,20,23,36,35,21,3,medium,low
23,4,92.0,15,25,35,26,34,22,2,low,high
24,2,94.0,19,28,26,26,20,32,3,medium,low
25,3,78.0,15,20,27,25,24,26,4,high,medium
26,2,62.0,5,20,20,20,20,21,4,high,low
27,2,100.0,11,22,30,35,27,27,3,medium,low
28,2,83.0,12,20,26,22,20,25,3,medium,low
29,5,80.0,15,20,25,32,28,24,2,low,very_high
30,4,73.0,13,36,36,35,22,26,3,medium,high
31,1,82.0,6,20,21,20,20,20,2,low,very_low
32,5,90.0,18,39,33,39,37,36,4,high,very_high
33,5,92.0,13,41,23,26,35,36,3,medium,very_high
34,2,73.0,10,20,27,20,20,20,4,high,low
35,2,67.0,17,24,29,22,20,20,3,medium,low
36,1,60.0,6,20,20,20,24,20,4,high,very_low
37,3,65.0,9,21,22,20,20,20,2,low,medium
38,4,82.0,18,24,28,25,26,40,2,low,high
39,5,100.0,10,26,37,41,31,32,4,high,very_high
40,2,81.0,5,25,20,20,22,20,2,low,low
41,4,92.0,11,25,28,32,36,26,1,very_low,high
42,2,72.0,10,20,20,42,24,27,4,high,low
43,3,68.0,12,25,33,29,20,22,2,low,medium
44,3,98.0,20,31,32,20,26,32,2,low,medium
45,1,64.0,4,20,20,20,20,20,3,medium,very_low
46,2,80.0,11,45,20,26,20,20,2,low,low
47,1,65.0,12,20,20,20,20,20,1,very_low,very_low
48,4,100.0,17,25,45,29,38,38,2,low,high
49,3,77.0,12,32,26,21,27,27,3,medium,medium
50,3,69.0,9,33,21,29,24,23,3,medium,medium
51,3,84.0,9,44,20,31,23,26,3,medium,medium
52,1,39.0,9,20,20,33,20,22,5,very_high,very_low
53,3,91.0,14,20,20,23,31,32,4,high,medium
54,3,100.0,14,24,28,21,26,30,4,high,medium
55,1,78.0,8,33,20,20,20,20,3,medium,very_low
56,3,87.0,12,36,24,48,21,20,3,medium,medium
57,5,69.0,23,40,37,37,33,36,4,high,very_high
58,5,100.0,14,27,32,42,34,40,2,low,very_high
59,2,83.0,10,20,36,20,27,20,4,high,low
60,2,64.0,15,22,20,20,20,20,5,very_high,low
61,1,80.0,15,20,20,29,20,20,2,low,very_low
62,2,76.0,8,25,20,20,20,20,4,high,low
63,1,76.0,9,21,20,20,20,20,2,low,very_low
64,1,78.0,7,20,20,21,20,20,5,very_high,very_low
65,4,72.0,19,32,28,24,22,48,4,high,high
66,1,77.0,14,29,20,20,29,20,3,medium,very_low
67,5,85.0,12,32,28,39,35,24,4,high,very_high
68,2,100.0,12,23,20,20,24,21,5,very_high,low
69,4,85.0,8,23,20,24,26,36,1,very_low,high
70,4,96.0,11,43,26,32,29,29,4,high,high
71,2,74.0,11,20,30,29,20,33,3,medium,low
72,2,85.0,13,20,24,29,31,20,2,low,low
73,1,73.0,18,20,20,20,20,20,1,very_low,very_low
74,3,65.0,6,20,24,23,20,20,3,medium,medium
75,2,100.0,8,36,20,20,35,20,4,high,low
76,2,76.0,6,20,20,32,20,30,3,medium,low
77,5,100.0,16,45,43,25,34,31,3,medium,very_high
78,5,66.0,26,55,36,35,44,44,4,high,very_high
79,5,51.0,17,37,38,36,31,32,3,medium,very_high
80,3,93.0,12,21,20,30,20,20,3,medium,medium
81,2,62.0,8,20,22,23,20,20,3,medium,low
82,5,80.0,20,27,43,38,29,43,4,high,very_high
83,3,82.0,9,24,20,27,33,22,3,medium,medium
84,3,84.0,14,20,24,23,21,25,3,medium,medium
85,5,75.0,10,45,49,28,24,21,1,very_low,very_high
86,4,83.0,14,24,38,42,20,27,3,medium,high
87,2,71.0,8,20,25,20,26,23,3,medium,low
88,1,90.0,4,20,20,20,21,20,3,medium,very_low
89,3,81.0,20,20,31,23,23,20,4,high,medium
90,2,91.0,5,27,20,20,20,20,1,very_low,low
91,4,100.0,15,32,42,41,30,28,3,medium,high
92,5,82.0,16,35,38,33,22,22,3,medium,very_high
93,4,100.0,11,40,36,26,37,20,2,low,high
94,3,73.0,13,28,23,22,20,26,3,medium,medium
95,1,53.0,13,20,20,20,20,25,3,medium,very_low
96,2,81.0,11,20,20,20,20,20,4,high,low
97,5,93.0,23,43,38,51,42,47,5,very_high,very_high
98,3,75.0,13,31,25,21,34,20,1,very_low,medium
99,1,59.0,11,20,23,20,21,20,3,medium,very_low
100,4,87.0,13,23,30,20,36,32,3,medium,high
101,1,59.0,8,20,20,20,20,20,3,medium,very_low
102,2,88.0,13,26,29,20,20,22,5,very_high,low
103,1,58.0,6,20,20,20,20,20,2,low,very_low
104,4,94.0,13,21,20,41,45,22,3,medium,high
105,2,59.0,16,20,31,20,30,24,4,high,low
106,4,100.0,10,30,38,28,29,20,4,high,high
107,5,100.0,13,36,45,45,20,31,4,high,very_high
108,3,62.0,18,31,38,26,28,31,2,low,medium
109,3,96.0,11,26,20,23,20,25,1,very_low,medium
110,1,68.0,6,20,25,20,20,20,4,high,very_low
111,5,100.0,14,42,29,39,43,32,4,high,very_high
112,3,87.0,18,26,28,28,34,20,2,low,medium
113,4,70.0,18,25,30,26,33,27,5,very_high,high
114,3,67.0,13,27,20,36,24,25,3,medium,medium
115,3,97.0,20,31,20,35,35,20,3,medium,medium
116,4,86.0,13,21,20,31,32,28,3,medium,high
117,1,56.0,9,20,20,20,26,35,3,medium,very_low
118,5,53.0,16,49,27,26,29,29,3,medium,very_high
119,2,95.0,14,25,25,23,21,23,2,low,low
120,3,93.0,15,28,30,35,24,30,4,high,medium
121,3,89.0,8,20,34,32,23,23,2,low,medium
122,3,67.0,12,35,20,28,30,20,4,high,medium
123,5,87.0,18,31,37,38,37,22,2,low,very_high
124,1,100.0,12,20,35,20,21,20,2,low,very_low
125,4,60.0,18,21,28,38,36,42,5,very_high,high
126,5,79.0,11,22,24,20,27,34,5,very_high,very_high
127,2,70.0,13,24,20,20,20,20,3,medium,low
128,2,84.0,12,20,32,24,20,28,2,low,low
129,5,90.0,13,20,47,33,20,23,1,very_low,very_high
130,3,60.0,16,20,20,20,20,27,2,low,medium
131,1,75.0,9,20,20,25,20,20,5,very_high,very_low
132,5,92.0,29,45,26,45,58,45,4,high,very_high
133,5,93.0,22,33,28,45,40,30,3,medium,very_high
134,1,90.0,6,20,20,20,23,20,2,low,very_low
135,5,97.0,13,33,42,43,38,35,3,medium,very_high
136,4,76.0,23,23,43,43,43,23,2,low,high
137,2,81.0,8,20,20,20,20,25,3,medium,low
138,1,59.0,9,20,25,37,20,20,3,medium,very_low
139,4,82.0,17,32,36,30,39,24,1,very_low,high
140,5,75.0,15,22,44,28,38,30,2,low,very_high
141,2,74.0,10,25,25,25,31,20,3,medium,low
142,2,56.0,10,20,33,21,20,20,4,high,low
143,3,72.0,14,20,20,22,25,20,3,medium,medium
144,2,90.0,8,20,20,20,20,20,3,medium,low
145,4,84.0,19,25,35,37,33,26,3,medium,high
146,5,62.0,13,38,32,40,29,22,1,very_low,very_high
147,2,100.0,17,20,36,20,43,20,2,low,low
148,4,100.0,14,49,39,23,30,39,2,low,high
149,5,61.0,15,26,31,22,22,20,5,very_high,very_high
150,3,76.0,13,32,30,20,20,22,3,medium,medium
151,5,67.0,10,21,25,35,24,20,4,high,very_high
152,3,72.0,16,20,28,20,21,26,4,high,medium
153,4,78.0,14,25,42,28,35,37,4,high,high
154,2,90.0,11,20,20,23,20,21,2,low,low
155,2,94.0,13,41,20,31,20,20,3,medium,low
156,5,74.0,19,24,36,37,33,35,4,high,very_high
157,5,65.0,15,25,48,27,45,44,3,medium,very_high
158,3,62.0,15,25,20,31,33,21,4,high,medium
159,4,83.0,11,20,22,27,27,20,4,high,high
160,1,100.0,10,20,20,20,28,20,2,low,very_low
161,2,77.0,12,20,20,20,20,20,3,medium,low
162,2,97.0,15,32,32,20,37,24,2,low,low
163,5,53.0,16,26,22,20,40,48,2,low,very_high
164,3,100.0,16,33,24,23,31,30,3,medium,medium
165,4,72.0,11,29,26,39,20,29,2,low,high
166,5,82.0,18,20,51,45,37,28,3,medium,very_high
167,3,90.0,13,30,20,20,34,37,3,medium,medium
168,3,74.0,11,29,22,20,21,20,3,medium,medium
169,3,75.0,13,36,26,28,26,20,2,low,medium
170,4,94.0,12,34,24,30,38,32,3,medium,high
171,4,80.0,11,38,20,20,20,25,2,low,high
172,2,99.0,12,33,20,21,20,41,3,medium,low
173,2,93.0,10,20,22,23,20,22,2,low,low
174,1,80.0,10,20,20,20,20,20,3,medium,very_low
175,2,78.0,9,20,33,20,20,20,3,medium,low
176,2,67.0,10,20,20,20,20,20,4,high,low
177,1,57.0,9,20,20,20,20,20,4,high,very_low
178,4,81.0,14,24,40,35,34,32,1,very_low,high
179,3,54.0,14,40,20,20,23,23,2,low,medium
180,3,76.0,12,30,24,20,20,26,2,low,medium
181,5,98.0,13,40,25,40,30,33,4,high,very_high
182,4,77.0,16,39,38,28,34,23,3,medium,high
183,4,74.0,11,46,26,42,25,20,3,medium,high
184,3,98.0,15,25,20,30,27,31,3,medium,medium
185,3,71.0,11,20,27,20,20,22,2,low,medium
186,3,56.0,10,20,20,20,24,20,3,medium,medium
187,5,85.0,21,42,38,37,31,41,2,low,very_high
188,2,83.0,5,29,21,20,21,26,4,high,low
189,3,67.0,13,29,33,27,42,26,5,very_high,medium
190,3,68.0,11,35,20,27,21,37,3,medium,medium
191,3,78.0,7,20,20,20,20,25,4,high,medium
192,5,100.0,18,42,39,28,40,34,4,high,very_high
193,3,98.0,16,20,27,33,25,25,5,very_high,medium
194,3,100.0,13,25,29,35,24,25,2,low,medium
195,2,87.0,13,32,20,21,20,20,4,high,low
196,2,85.0,12,20,29,28,30,20,2,low,low
197,3,51.0,7,27,20,31,20,24,2,low,medium
198,3,90.0,12,22,22,24,20,20,3,medium,medium
199,5,91.0,14,30,35,39,36,38,2,low,very_high
200,1,77.0,7,20,23,20,20,20,4,high,very_low
201,4,72.0,20,37,55,37,26,54,2,low,high
202,4,68.0,21,24,20,20,25,31,3,medium,high
203,1,79.0,13,20,20,20,20,20,3,medium,very_low
204,3,89.0,6,25,39,30,31,22,3,medium,medium
205,5,50.0,17,26,34,40,40,25,3,medium,very_high
206,2,100.0,9,38,29,20,20,30,3,medium,low
207,1,73.0,9,20,22,20,20,20,4,high,very_low
208,3,99.0,15,24,31,49,27,42,4,high,medium
209,1,89.0,9,20,20,20,20,20,2,low,very_low
210,3,58.0,9,28,20,35,20,24,2,low,medium
211,3,85.0,15,26,27,20,26,39,4,high,medium
212,4,90.0,13,32,28,31,25,46,3,medium,high
213,4,74.0,13,25,41,33,20,31,5,very_high,high
214,4,92.0,13,27,30,32,35,33,3,medium,high
215,3,100.0,16,28,20,42,28,27,3,medium,medium
216,3,90.0,14,26,31,30,29,20,3,medium,medium
217,2,80.0,12,20,20,26,20,22,5,very_high,low
218,4,56.0,11,22,23,42,24,20,3,medium,high
219,3,60.0,22,20,38,26,31,40,2,low,medium
220,2,95.0,18,27,22,29,20,20,2,low,low
221,5,73.0,14,20,31,45,27,44,2,low,very_high
222,3,47.0,10,22,20,20,20,20,3,medium,medium
223,1,62.0,16,20,20,28,20,20,3,medium,very_low
224,4,81.0,12,47,35,28,26,25,4,high,high
225,3,74.0,15,22,31,22,20,38,3,medium,medium
226,2,88.0,11,20,25,25,20,25,3,medium,low
227,5,76.0,24,35,43,29,40,33,3,medium,very_high
228,5,96.0,17,30,37,25,44,35,5,very_high,very_high
229,4,75.0,14,22,28,27,28,42,3,medium,high
230,4,100.0,12,35,28,22,32,27,1,very_low,high
231,2,70.0,8,29,20,20,22,20,4,high,low
232,2,77.0,13,33,20,20,20,20,4,high,low
233,5,79.0,21,34,27,36,23,46,3,medium,very_high
234,5,80.0,13,43,22,40,22,41,5,very_high,very_high
235,5,65.0,17,34,33,36,27,42,2,low,very_high
236,3,76.0,15,20,34,27,24,32,3,medium,medium
237,5,67.0,25,41,33,35,41,28,3,medium,very_high
238,4,87.0,9,31,20,20,28,38,3,medium,high
239,5,99.0,17,29,39,27,34,29,3,medium,very_high
240,2,73.0,14,20,20,20,32,20,2,low,low
241,4,77.0,14,20,22,20,24,23,3,medium,high
242,1,73.0,9,20,20,20,20,20,3,medium,very_low
243,3,100.0,11,20,20,20,25,24,2,low,medium
244,1,74.0,10,22,20,20,20,20,2,low,very_low
245,5,97.0,13,32,39,33,43,28,4,high,very_high
246,2,36.0,13,20,20,32,20,26,4,high,low
247,1,77.0,9,20,20,20,20,20,2,low,very_low
248,3,66.0,13,20,20,28,20,20,3,medium,medium
249,4,64.0,12,28,28,31,31,20,3,medium,high
250,4,85.0,14,24,26,35,21,20,2,low,high
251,1,100.0,13,20,23,20,28,20,4,high,very_low
252,5,79.0,17,27,31,40,45,30,3,medium,very_high
253,2,60.0,11,31,20,20,20,20,4,high,low
254,3,84.0,9,22,20,30,30,20,3,medium,medium
255,1,66.0,12,29,20,29,20,20,3,medium,very_low
256,5,100.0,20,41,51,34,46,26,2,low,very_high
257,3,100.0,9,26,26,20,28,36,4,high,medium
258,1,82.0,12,20,20,28,20,21,4,high,very_low
259,2,74.0,10,20,20,20,20,29,3,medium,low
260,1,73.0,9,20,20,20,20,20,2,low,very_low
261,4,58.0,11,27,20,41,20,20,2,low,high
262,4,82.0,15,31,23,29,33,35,1,very_low,high
263,2,77.0,11,20,33,20,21,28,4,high,low
264,1,100.0,8,20,24,20,20,20,3,medium,very_low
265,3,73.0,13,28,20,41,27,28,2,low,medium
266,2,88.0,9,20,31,26,20,23,2,low,low
267,4,86.0,11,27,24,29,32,29,4,high,high
268,2,91.0,20,20,28,36,20,30,3,medium,low
269,3,71.0,9,23,32,27,20,26,5,very_high,medium
270,3,65.0,18,20,41,32,20,20,1,very_low,medium
271,2,61.0,8,22,20,26,20,25,2,low,low
272,5,100.0,13,51,33,20,49,44,1,very_low,very_high
273,4,96.0,15,40,28,20,44,21,2,low,high
274,3,84.0,6,26,28,20,20,34,2,low,medium
275,3,86.0,14,29,20,26,39,20,5,very_high,medium
276,4,66.0,13,20,35,20,35,20,3,medium,high
277,3,52.0,12,21,21,26,20,36,3,medium,medium
